Noninfected,8 hpi,12 hpi
0.06840576,0.03185664,0.03272064
0.21735744,0.0349632,0.03975552
0.07983936,0.01814592,0.09847296
0.0935616,0.02775552,0.04296384
0.35401152,0.01084992,0.07271616
0.42946368,0.03094272,0.0847104
0.16862784,0.02949312,0.09993408
0.07604736,0.85240896,0.08980224
0.91492992,0.05848704,0.10449408
0.05749248,0.203904,0.2105952
0.0660288,0.23161536,0.07064256
0.10655616,0.02513472,0.17593536
0.2447808,0.22555968,0.0068928
0.11019264,0.14428608,0.12495744
0.60107904,0.03580416,0.03611904
0.04727424,0.15275904,0.81395136
0.7253088,0.5816352,0.05673408
0.42298752,0.35398464,0.0096192
0.11516736,0.08826624,0.19593216
0.41136384,0.12096,0.09605568
0.56554944,0.07087104,0.04348032
0.2507904,0.03677376,0.0554304
0.08373888,0.02176512,0.01896
0.12443904,0.07038912,0.1478496
0.13567488,0.20504832,0.01674624
0.13204032,0.09814848,0.11111424
0.1092576,0.14006976,0.01902144
0.05932992,0.02168832,0.39207936
0.14984256,0.00044352,0.08266752
0.69344064,0.08389248,0.4244064
0.41576256,0.02934912,0.08917056
0.05372352,0.12111744,0.06057408
0.23334528,0.134928,0.11546496
0.0520128,0.0324384,0.11395584
0.11673792,0.01693056,0.07853184
0.02763648,0.08904192,0.01298496
0.09264,0.17745408,0.03839616
1.06091712,0.01900992,0.37590528
0.03888,0.06768384,0.03552192
0.05512512,0.04668096,0.108816
0.31792512,0.11584704,0.08268672
0.08539392,0.07913664,0.6876096
0.095568,0.02629248,0.07107456
0.10156032,0.06143424,0.06757632
0.12334848,0.1176576,0.01591872
0.0417024,0.03608448,0.07568832
0.12962304,0.01248192,0.04248576
0.06432192,0.35360064,0.02461824
0.11752896,0.0875712,0.062544
0.24363456,0.06820032,0.06211584
0.05444928,0.04698624,0.1247424
0.07700352,0.04332672,0.07846656
0.15757824,0.077904,0.0450624
0.1394496,0.00141696,0.08830272
0.26856576,0.09174144,0.03735744
0.20065728,0.02159232,0.12520896
0.12594048,0.0273312,0.01205568
1.2724224,0.1213536,0.13113408
0.07280448,0.0195648,0.04314816
0.02990592,0.01587648,0.0531264
0.35757312,0.03120384,0.08251008
0.49367232,0.05114688,0.06290496
0.0373728,0.10166016,0.05399232
0.0705792,0.0014784,0.33129216
0.2170368,,0.10065408
0.07773504,,0.26134272
0.07896,,0.45162624
0.16742784,,0.11757504
0.10737984,,0.07377792
0.05630784,,0.10260288
0.15192192,,0.37920768
0.24236544,,0.02128896
0.0792576,,0.03188928
0.06688512,,0.55528704
0.08139456,,0.30548928
0.06951552,,0.03595392
0.04084992,,0.07783104
0.05045376,,0.02598144
0.020784,,0.04944192
0.11777856,,0.24757056
0.06868416,,0.12413376
0.04944192,,0.09289344
0.2485248,,0.07915008
0.11202432,,0.12379008
0.23959104,,0.06355968
0.1180896,,0.10528512
0.43694784,,0.02997312
0.15674304,,0.12085824
0.30848832,,0.09289536
0.09260928,,0.01521408
0.67174848,,0.16003008
0.300384,,0.12350784
0.10211904,,0.18366336
0.07321536,,0.17981568
0.1289184,,0.13487232
0.07249728,,0.06120576
0.21794304,,0.06758016
0.1835328,,0.12466176
0.05242752,,0.14221824
0.17448,,0.12084288
0.11216256,,0.05896128
0.05708352,,0.08078016
0.16609152,,0.0419424
0.27461568,,0.06753792
0.04811136,,0.09533568
0.03204864,,0.2396448
0.04336512,,0.04287168
0.25539264,,0.15080832
0.252048,,0.02523072
0.66762048,,0.02226624
0.17600448,,0.19326912
0.19091136,,0.04514304
0.06970944,,0.07400448
0.21623616,,0.04969728
0.15937536,,0.244656
0.04565376,,0.0386688
0.18286848,,0.15043584
0.04039872,,0.10863936
0.07700928,,0.03853248
0.63491712,,0.2533344
0.15808512,,0.14404992
0.08721216,,0.33948864
0.2481216,,0.49171008
0.13709376,,0.19613184
0.05096256,,0.11400384
0.9074688,,0.22893312
0.07713408,,0.13109952
0.1181376,,0.02185728
0.13175808,,0.05334144
0.10606272,,0.0956736
0.21757824,,0.07488
0.09344448,,0.04013376
0.13829568,,0.12123648
0.12144768,,0.02658816
0.2399328,,0.05732352
0.12053568,,0.03548736
0.10567104,,0.00593664
0.04269504,,0.13592256
0.04684416,,0.12733056
0.05398464,,0.05755584
0.05210112,,0.0729312
0.14580288,,0.02936064
0.01958784,,0.0183936
0.31794816,,0.0175872
0.33715776,,0.20975232
0.10976448,,0.01000512
0.10140096,,0.426
0.30303168,,0.1339872
0.2376768,,0.12207744
0.1930752,,0.0332352
0.18773568,,0.16366656
0.11977728,,0.7234176
0.08367936,,0.1694592
0.08654784,,0.0285216
0.10228224,,0.00097344
0.08004288,,0.03082944
0.1136352,,0.25656192
0.21990336,,0.04571328
0.07933248,,0.06792384
0.06538944,,0.08910336
0.11157696,,0.06109632
0.24258624,,0.21232896
0.1298976,,0.43206336
0.09141312,,0.09120768
0.60194112,,0.03596928
0.08250624,,0.0616512
0.56403264,,0.04836672
0.51409344,,0.78701376
0.41141952,,0.18558144
0.02208384,,0.12485952
0.09392256,,0.09770688
0.1711968,,0.04687296
0.12709248,,0.0260928
0.15356352,,0.0108672
0.16806336,,0.01738944
0.16197696,,0.3072672
0.07611072,,0.50846592
0.06975744,,0.01380288
0.13068864,,0.09415488
0.07509888,,0.09846528
0.14922624,,0.04714368
0.04607424,,0.02205504
0.25703424,,0.18338304
0.0769248,,0.00338496
0.0867456,,0.04901184
0.13051008,,0.12576384
0.08254848,,0.05138304
0.1277952,,0.08973696
0.07591104,,0.03820608
0.12374976,,0.12818112
0.27450048,,1.03475904
0.12075264,,0.0837504
0.10664832,,0.67472832
0.1092192,,0.11126208
0.1398048,,0.06188352
0.11066304,,0.05281536
0.09779328,,0.04529472
0.10419648,,0.3115104
0.05493888,,0.08744256
0.03353472,,0.14804928
0.08097216,,0.02498688
0.08009088,,0.06675264
,,0.07914432
,,0.09903744
,,0.07056192
,,0.08894208
,,0.01837248
,,0.11090688
,,0.21152832
,,0.03053376
,,0.14382144
,,0.02576832
,,0.1053696
,,0.0689952
,,0.22913856
,,0.09621312
,,0.22389888
,,0.19207104
,,0.06529536
,,0.71541504
,,0.10791744
,,0.07672896
,,0.19240704
,,0.1214592
,,0.05254272
,,0.11054016
,,0.04478976
,,0.06558912
,,0.07905216
,,0.10792896
,,0.11286912
,,0.06868416
,,0.01788288
,,0.05291136
,,0.04650048
,,0.00408576
,,0.08968896
,,0.07266432
,,0.02217408
,,0.01162368
,,0.05788032
,,0.03427776
,,0.17513088
,,0.01240704
